student,balance,income,default
0,729.526495207286,44361.6250742669,0
1,817.180406555498,12106.1347003149,0
0,1073.54916401173,31767.1389473999,0
0,529.250604745278,35704.4939350781,0
0,785.655882930501,38463.4958787229,0
1,919.5885304745,7491.55857182746,0
0,825.513330517201,24905.2265775235,0
1,808.667504297266,17600.4513435869,0
0,1161.05785403132,37468.5292875375,0
0,0.0,29275.2682931678,0
1,0.0,21871.0730892776,0
1,1220.58375300377,13268.5622209261,0
0,237.045113977472,28251.6953449631,0
0,606.742343302464,44994.5558492173,0
0,1112.96840063305,23810.174050036,0
0,286.232560139224,45042.4130358855,0
0,0.0,50265.3123535985,0
1,527.540184074571,17636.5396172936,0
0,485.936864171729,61566.106117801,0
0,1095.0727352874,26464.631389229,0
0,228.952549642572,50500.1821977441,0
0,954.261792773545,32457.5090750754,0
0,1055.95660472904,51317.8830823874,0
0,641.984388848021,30466.1032574814,0
0,773.211724534176,34353.3143050038,0
0,855.008522525692,25211.3321614539,0
0,642.999738515429,41473.5118010187,0
0,1454.86327248404,32189.0949523178,0
0,615.704276560405,39376.3946187014,0
1,1119.56935332865,16556.0702053511,0
0,494.816228807326,54384.7828361386,0
1,448.880656256039,15799.4704097956,0
1,584.90489468245,22429.9350462168,0
0,913.587172608928,46907.2254028623,0
1,1423.93891664088,22634.4880875812,0
1,1499.72465655973,13190.6527164103,0
0,692.034167065432,47806.6117728963,0
0,351.45347152301,35087.4886480858,0
0,742.627620785597,37864.8239388952,0
0,653.118400123388,39489.5947028613,0
0,872.138679538477,41787.5672689012,0
0,837.262622754171,51471.7720946377,0
0,1151.63056608265,42917.4695636282,0
1,220.55560838644,16872.9475557814,0
1,1690.23441038701,19052.5722246955,0
0,408.772914305185,54206.9392120179,0
0,1238.61032124112,50066.6805336538,0
0,1228.30835035336,37408.5038685076,0
0,820.919204146184,47746.5420731016,0
0,857.4851177765,31688.3459738919,0
0,563.618177182362,42641.253266646,0
1,1282.97253359578,13120.6364696027,0
1,1505.78267482884,26557.1414458808,0
1,904.040259066813,16882.3006056535,0
0,0.0,49956.580571906,0
1,1294.4973466731,10464.3207319231,0
1,1275.55063272364,15887.4684867774,0
0,1536.59460097252,48766.9074575615,0
0,1332.52264386695,39143.1370690178,0
0,492.079767815411,33379.0946028395,0
0,766.234379303894,46478.2942569524,0
0,690.127246199993,63432.9842544674,0
0,0.0,32481.5400461151,0
0,1480.65530926266,36866.1570686848,0
0,989.055596975304,45344.2513202648,0
0,1302.34183516856,33695.4262332636,0
0,1044.55234328472,54696.7659816226,0
0,0.0,43658.2277239957,0
0,866.02843636799,38363.4216347118,0
0,690.800792354134,48140.471335995,0
0,597.757142017061,31577.6151255677,0
0,429.485402306276,51311.218101023,0
0,1398.15620148326,39644.9421931896,0
1,1578.06409853994,19886.4939515168,0
0,857.069053134242,26655.6889653755,0
1,752.459945958806,16211.2757881826,0
1,774.738426963927,15193.733135525,0
0,728.373251302587,45131.718264691,0
0,76.9912905299071,28392.0934122846,0
0,196.456913136183,41346.78591324,0
1,948.747918388616,14297.6190485513,0
0,431.920885304176,39369.8815631008,0
0,461.63818223378,46221.2114948234,0
0,572.015760230599,33046.3129575033,0
0,335.568144733179,51258.4442299621,0
0,510.23759315638,60397.7186486948,0
1,1005.16130555577,24038.6520433118,0
1,162.454451086564,13241.7520600759,0
0,932.533155682331,50537.4656484602,0
1,893.330467612275,11905.6817925484,0
0,1332.78256352571,44495.1627629054,0
0,1404.38306945215,35043.1060286742,0
1,1148.96513915926,16578.1921184729,0
0,368.223425720545,57596.8258431935,0
0,449.466628769273,45950.6667238686,0
0,820.017112578423,51584.6573183834,0
1,619.751868575593,15750.6220834222,0
0,1047.71812400961,46416.9709942419,0
0,243.84132832576,47193.8881309706,0
0,186.500386931495,45430.5502710943,0
0,1422.01848757576,38224.0315214972,0
0,383.798659005674,61425.286388114,0
0,1159.43509608859,45802.1049386909,0
0,882.99191255185,17181.7379663818,0
0,1463.23289161086,65457.8541875824,0
1,1722.35584628315,19311.4229408044,0
1,773.921861257735,14558.9121383835,0
0,958.169418468988,32816.2847956415,0
0,1207.53273014951,68037.5751261777,0
0,1056.6108304963,30546.6010343774,0
0,117.642483931776,46550.2672705963,0
0,596.964119237004,58088.3604512649,0
0,0.0,47729.6257581971,0
1,541.662755324457,16335.7034406021,0
0,1119.17830341806,45020.0191217013,0
1,810.320936469835,20498.66581411,0
0,271.55143774701,32850.1201448079,0
0,1114.40323650428,47714.0221084582,0
0,867.030828053565,33540.9799848111,0
1,1176.7894016772,17632.712103849,0
0,610.227818661398,42465.3629640684,0
0,272.615661715535,55449.3386406402,0
0,449.735085836859,49643.4264416677,0
1,827.767209400324,10673.5262253922,0
